lat,lon,size,label
59.881734251282055,29.915327241025643,195,"Petergof, Petrograd"
69.86285276923077,25.050505153846157,13,"Porsangmoen, Finnmark Fylke"
63.376978263803686,22.67362205521473,163,"Överjeppo, Pohjanmaan maakunta"
60.23930909664692,24.826455666666664,507,"Vantaa, Newland"
65.26123572881356,30.212745508474576,59,"Karpivaara, Karelia"
59.977765125,29.1033534375,32,"Sosnovyy Bor, Leningrad Oblast"
59.960963488372094,22.46161686046512,43,"Kimitoön, Finland Proper"
63.66458053048781,22.55050795426829,328,"Näsiskatan, Pohjanmaan maakunta"
63.55759185714286,24.81796703571429,28,"Lestijärvi, Länsi-Suomen lääni"
69.66363015458937,30.19258455555555,207,"Kirkenes, Finnmark Fylke"
63.07988736170213,30.0229675212766,94,"Lieksa, North Karelia"
60.461167013953485,22.483233451162786,215,"Kaarina, Finland Proper"
65.63245741854637,22.02002958145364,399,"Gammelstad, Norrbottens Län"
66.4999379739369,25.729466869684497,729,"Rovaniemi, Lapin maakunta"
63.23871241176471,23.60111349019608,51,"Lappajärvi, Etelä-Pohjanmaan maakunta"
64.04222180645161,26.002198903225807,31,"nan, Pohjois-pohjanmaan maakunta"
61.94631256818182,25.73883984090909,44,"Jyväskylä, Central Finland"
64.416893,29.089403333333333,12,"Kuhmo, Kainuun maakunta"
69.4910783076923,28.53911341025641,39,"Sevettijärvi, Lapin maakunta"
67.56105345270271,22.645637581081083,148,"Kangos, Norrbottens Län"
63.91269046551725,23.947138172413798,58,"Kannus, Länsi-Suomen lääni"
61.92349865384615,23.44797111538461,26,"Ylöjärvi, Tampere"
66.63262926086956,24.98085004347826,23,"Rovaniemi, Lapland"
61.761605262295085,26.12309263934426,122,"Joutsa, Central Finland"
68.46867166666667,22.08457314583333,48,"Kelottijärvi, Lapin maakunta"
65.66485213513513,21.127353,37,"Älvsbyn, Norrbottens Län"
66.65220889285715,29.02144835714286,28,"Kallunki, Lapin maakunta"
67.99807383404254,24.191743838297874,235,"Unknown, Lapland"
64.72044839189189,28.23806425675676,74,"Väisälä, Oulun lääni"
69.84276143373494,20.73472557831325,82,"Uløybukta, Troms Fylke"
65.07974270338983,21.540357211864407,118,"Byske, Västerbottens Län"
65.01478794736842,22.74578036842105,19,"Småskären, Norrbotten"
60.25160508515625,25.047856815625,1280,"Helsinki, Newland"
69.6800025,29.91710537380953,420,"Sandnes, Finnmark Fylke"
62.12138554166667,28.252271333333333,48,"Rantasalmi, Etelä-Savon maakunta"
68.91142587142858,28.013410242857145,70,"Enare, Lapin maakunta"
62.27271828571429,25.033091904761903,21,"Petäjävesi, Central Finland"
61.60368174074074,28.02126385185185,27,"nan, Etelä-Savon maakunta"
64.7344377287234,21.1074175,188,"Bergsbyn, Västerbottens Län"
69.51247101785714,20.728380017857145,56,"Langnes, Troms Fylke"
63.99240978,20.85257944,50,"Ratan, Västerbottens Län"
64.90949876606683,25.50541953470437,389,"Kempele, Pohjois-pohjanmaan maakunta"
66.01543118867924,21.32316083018868,53,"Unknown, Norrbottens Län"
68.881709125,24.3566465,8,"Unknown, Finnmark Fylke"
68.3756977062937,23.509472524475527,143,"Hetta, Lapin lääni"
62.60963183333333,23.6780653,30,"Alavus, South Ostrobothnia"
64.73573637931034,29.48252475862069,29,"Suomussalmi, Oulun lääni"
63.42525666666667,27.321473,105,"Ohenmäki, Pohjois-Savon maakunta"
66.6826890891089,25.34690392079208,101,"Pohtimolampi, Lapin maakunta"
66.68777980555555,26.78550741666667,36,"nan, Lapin maakunta"
61.5441959368932,23.4869947815534,412,"Ylöjärvi, Tampere"
68.76927761666667,23.584554166666663,60,"Unknown, Finnmark Fylke"
66.05714472,22.54015816,25,"Unknown, Norrbottens Län"
60.58662942105264,27.738576065789477,76,"Virolahti, Kymenlaakso"
63.64810189570552,22.92953901226994,164,"Pedersöre, Länsi-Suomen lääni"
66.94530185714287,30.214225714285718,7,"Alakurtti, Murmansk Oblast"
60.35230707692308,30.309230769230773,26,"Kasimovo, Leningrad Oblast"
62.666495789473686,28.40045810526316,19,"Tuusniemi, Pohjois-Savon maakunta"
63.75438104347826,25.325528108695654,46,"Haapajärvi, Pohjois-pohjanmaan maakunta"
60.19423475925926,25.38879274074074,54,"Porvoo, Newland"
60.87238672131147,26.715259163934427,183,"Kouvola, Kymenlaakso"
69.04632567592593,28.966340324074075,108,"Rayakoski, Murmansk Oblast"
61.00480389655173,26.31892156896552,58,"Väärtti, Kymenlaakso"
63.18146743846154,22.82123126153846,130,"Mylläri, Etelä-Pohjanmaan maakunta"
61.00283292105263,24.477869657894736,38,"Hämeenlinna, Kanta-Hame"
61.78178265116279,22.72459000775193,129,"nan, Satakunnan maakunta"
63.25384918518519,26.27461877777778,27,"Keitele, Pohjois-Savon maakunta"
67.6530864102564,21.034629102564104,39,"Svappavaara, Norrbottens Län"
63.03213495192308,21.55025135576923,105,"Långnäset, Pohjanmaan maakunta"
68.31143321052632,24.751544210526315,19,"Pulju, Lapin maakunta"
63.87106249122808,23.36714251461988,171,"Ruotsalo, Länsi-Suomen lääni"
69.52611906060605,24.9275053030303,33,"Unknown, Finnmark Fylke"
66.8261003409091,24.030114772727277,44,"Pello, Lapland"
62.865389,24.807666548387097,31,"Karstula, Central Finland"
63.21486764646465,28.276857535353532,99,"Kuopio, Itä-Suomen lääni"
68.05447071153846,21.989789615384613,52,"Lannavaara, Norrbotten"
61.73919591304348,29.68187052173913,46,"nan, Etelä-Karjalan maakunta"
62.50687682352941,29.243994176470583,17,"Liperi, Pohjois-karjala maakunta"
69.41810481666667,29.724664416666663,60,"Steinbakk, Finnmark Fylke"
69.180848075,21.9869940125,80,"Unknown, Unknown"
62.34890517647059,25.485178014705884,68,"Jyväskylä, Central Finland"
68.93614334265735,20.98355260839161,143,"Unknown, Norrbottens Län"
65.11907495555556,25.79587753333333,45,"Oulu, North Ostrobothnia"
62.049429525,29.436085525000003,40,"Savonlinna, Southern Savonia"
61.44738670370371,22.156495888888887,27,"Ulvsby, Satakunnan maakunta"
67.89146905084746,23.968300279661012,118,"Muonio, Lapland"
66.4526124137931,20.68575,29,"Vuollerim, Norrbottens Län"
62.4236698372093,22.79584225581395,43,"Komsi, Etelä-Pohjanmaan maakunta"
66.56960867741935,28.05492429032258,31,"Räisälä, Lapin lääni"
62.89445206578947,21.40498867105263,76,"Majors, Pohjanmaan maakunta"
65.13248017741935,25.26179298387097,62,"Oulu, North Ostrobothnia"
63.45001561904762,23.257218428571427,42,"nan, Länsi-Suomen lääni"
62.243974731343286,21.38048870149254,67,"Kristinestad, Ostrobothnia"
64.66386420535714,24.67194275,112,"Ylipää, Pohjois-pohjanmaan maakunta"
69.867486504,21.22341808,125,"Straumfjordnes, Troms Fylke"
63.93841805555556,24.94388888888889,36,"Nivala, Oulun lääni"
62.94046898333333,22.58413185,60,"Ylistaro, Etelä-Pohjanmaan maakunta"
65.38430700961538,21.25559048076924,104,"Böle, Norrbottens Län"
67.33781568,23.84018936,25,"Kolari, Lapland"
63.63671276190476,28.69224876190476,21,"Valtimo, Itä-Suomen lääni"
69.55412120553359,20.543405513834,246,"Fossen, Troms Fylke"
64.46281827083334,21.576446625,48,"Bjuroklubbfiskelage, Västerbottens Län"
62.74971146938776,28.991897816326528,49,"Outokumpu, North Karelia"
62.8970644509804,27.40882794117647,51,"Kuopio, North Savo"
62.89325789007092,27.668242414893616,846,"Kuopio, North Savo"
65.8228665,22.212824875,24,"Unknown, Norrbottens Län"
62.60870828125,26.723228375,32,"Rautalampi, North Savo"
66.75413562874252,28.787781053892218,167,"Salla, Lapin maakunta"
64.26815775,24.83014878125,32,"Oulainen, Oulun lääni"
66.37489944585987,29.307802834394906,157,"Kuusamo, North Ostrobothnia"
60.53721023684211,21.82690965789474,38,"nan, Varsinais-Suomen maakunta"
68.17227102380951,23.24952383333333,42,"Sonkamuotka, Lapin maakunta"
67.95648178947368,29.02445247368421,19,"Unknown, Lapin lääni"
64.64407875,26.4697499375,32,"Utajärvi, Pohjois-pohjanmaan maakunta"
63.354051142857145,30.272928357142856,42,"Lieksa, Pohjois-karjala maakunta"
61.63156583928571,29.07058869642857,56,"Punkaharju, Etelä-Savon maakunta"
65.71629730000001,29.10811985,20,"Kuusamo, North Ostrobothnia"
67.875775115,20.467137334999997,200,"Kauppinen, Norrbottens Län"
60.170814051896215,24.929053954091817,497,"Helsinki, Newland"
63.87099907692308,29.93386576923077,13,"nan, Kainuun maakunta"
69.6015547983871,23.53408322580645,124,"Suolovuobme, Finnmark Fylke"
68.87300918644068,27.531201949152543,60,"Enare, Lapin maakunta"
69.26253789534884,20.513581709302333,86,"Unknown, Troms Fylke"
61.500041333333336,28.182499363636364,33,"Puumala, Southern Savonia"
62.87194985185185,30.133206796296296,54,"Joensuu, North Karelia"
62.059358823529415,25.384491264705883,34,"Jyväskylä, Central Finland"
59.93768860416667,23.342618291666668,48,"Raseborg, Newland"
69.71389363076923,29.357041707692307,65,"Skoltbyen, Finnmark Fylke"
69.82477177272727,24.110412272727277,22,"Unknown, Finnmark Fylke"
62.4616713776824,25.725042450643777,233,"Enekoski, Central Finland"
64.23709492105263,21.091508026315797,38,"Skäran, Västerbotten"
61.4030205625,25.63584109375,32,"Sysmä, Paijat-Hame"
64.29107557142856,26.99278592857143,28,"Vaala, Kainuu"
60.29003794736842,24.09998810526316,19,"Lohja, Newland"
64.26184794160584,23.92449454014599,137,"Kalajoki, Oulun lääni"
